Student ID,Date,Student Roll,Challan No,Amount
1120400130,22/02/2023,RIT01192036,230100516,11250
1120400130,22/02/2023,RIT01192036,221200516,11250
1110200076,22/02/2023,PSY01202003,230200256,6562
1110400043,22/02/2023,PSYC01192021,22100095,7000
1110400043,22/02/2023,PSYC01192021,221100075,7000
1110400043,22/02/2023,PSYC01192021,221200075,7000
1110400043,22/02/2023,PSYC01192021,230100075,7000
1210100703,22/02/2023,Fall2100703,22080457,8000
1210100703,22/02/2023,Fall2100703,220610028,8000
1010200072,22/02/2023,BBA01202006,230200003,9000
1210100703,22/02/2023,Fall2100703,221101490,6000
1010200072,22/02/2023,BBA01202006,230100547,9000
1210100703,22/02/2023,Fall2100703,22072449,8000
1010400041,22/02/2023,BBA01192019,230100144,7750
1010400041,22/02/2023,BBA01192019,221200144,7750
1110400059,22/02/2023,PSYC01192038,230100091,6187
1110400059,22/02/2023,PSYC01192038,221200091,6187
1030400118,22/02/2023,BSCS01192055,230100211,8812
1050400037,22/02/2023,BSENG01192024,230100272,4375
1030400118,22/02/2023,BSCS01192055,221200211,8812
1050400037,22/02/2023,BSENG01192024,221200272,4375
1120200167,22/02/2023,RIT01202026,230200363,11625
1060400088,22/02/2023,HND01192009,221200299,9000
1060400088,22/02/2023,HND01192009,230100299,9000
1060400083,22/02/2023,HND01192003,221200294,10312
1060400083,22/02/2023,HND01192003,230100294,10312
1050200075,22/02/2023,ENG01202019,230200114,6750
1010400048,22/02/2023,BBA01192029,230100151,7500
1010400048,22/02/2023,BBA01192029,221200151,7500
1210100850,22/02/2023,Fall2100850,230101530,12502
1210100806,22/02/2023,Fall2100806,230101315,13169
1020400075,22/02/2023,BSBIO01192019,221200121,6250
1210100010,22/02/2023,Fall2100010,230101175,19669
1210100010,22/02/2023,Fall2100010,221201175,19669
1110200098,22/02/2023,PSY01202026,230100818,6750
1110200098,22/02/2023,PSY01202026,230200272,6750
1030400093,22/02/2023,BSCS01192022,230100188,10500
1210100949,22/02/2023,Fall2200949,221101587,12002
1030400093,22/02/2023,BSCS01192022,221200188,10500
1110400051,22/02/2023,PSYC01192029,230200810,5000
1080400065,22/02/2023,MLT01192013,230200807,5000
1210100709,22/02/2023,Fall2100709,221101496,6000
1210100648,22/02/2023,Fall2100648,221101468,6000
1100400055,22/02/2023,OTT01192010,230100449,6250
1100400055,22/02/2023,OTT01192010,221200449,6250
1110400051,22/02/2023,PSYC01192029,221200083,6350
1110400051,22/02/2023,PSYC01192029,230100083,6350
1010400032,22/02/2023,BBA01192008,230100135,7250
1010400032,22/02/2023,BBA01192008,221200135,7250
1110200085,22/02/2023,PSY01202013,230200262,7500
1100400051,22/02/2023,OTT01192005,221200445,7812
1100400051,22/02/2023,OTT01192005,230100445,7812
1020200095,22/02/2023,BIO01202010,230200032,7812
1210100709,22/02/2023,Fall2100709,220610034,8000
1210100709,22/02/2023,Fall2100709,22072455,8000
1210100709,22/02/2023,Fall2100709,22080463,8000
1210100648,22/02/2023,Fall2100648,220610006,8000
1210100648,22/02/2023,Fall2100648,22072427,8000
1210100648,22/02/2023,Fall2100648,22080435,8000
1020200093,22/02/2023,BIO01202008,230200030,8125
1040600147,22/02/2023,DPT01182022,230100019,8745
1040600147,22/02/2023,DPT01182022,221200019,8745
1100400065,22/02/2023,OTT01192020,230100459,8750
1120400138,22/02/2023,RIT01192044,230100524,8750
1120400138,22/02/2023,RIT01192044,221200524,8750
1100400084,22/02/2023,OTT01192045,230100477,8750
1070400029,22/02/2023,BSIT01192025,230100355,8812
1100400088,22/02/2023,OTT01192050,230100481,9062
1040600140,22/02/2023,DPT01182014,230100012,9150
1040600140,22/02/2023,DPT01182014,221200012,9150
1210100942,22/02/2023,Fall2200942,221101582,9586
1040600186,22/02/2023,DPT01182072,230100055,10000
1040600186,22/02/2023,DPT01182072,221200055,10000
1010200086,22/02/2023,BBA01202021,230100557,10125
1010200086,22/02/2023,BBA01202021,230200013,10125
1040600170,22/02/2023,DPT01182053,230100042,10500
1040600170,22/02/2023,DPT01182053,221200042,10500
1030400114,22/02/2023,BSCS01192048,221200208,10500
1030400114,22/02/2023,BSCS01192048,230100208,10500
1080200128,22/02/2023,MLT01202031,230200207,10750
1080200119,22/02/2023,MLT01202021,230100742,11187
1080200119,22/02/2023,MLT01202021,230200198,11187
1060400092,22/02/2023,HND01192014,230100303,11250
1210100143,22/02/2023,Fall2100143,230101164,11252
1060400085,22/02/2023,HND01192005,221200296,13125
1060400085,22/02/2023,HND01192005,230100296,13125
1040600135,22/02/2023,DPT01182009,230100007,13200
1210100083,22/02/2023,Fall2100083,230100973,14335
1210100869,22/02/2023,Fall2100869,230101559,14752
1210100254,22/02/2023,Fall2100254,230101199,16919
1210100727,22/02/2023,Fall2100727,230101289,17502
1210100688,22/02/2023,Fall2100688,230101240,18752
1210100741,23/02/2023,Fall2100741,230101206,13752
1120200189,23/02/2023,RIT01202049,230200383,15000
1080400072,23/02/2023,MLT01192021,230100414,8906
1080400072,23/02/2023,MLT01192021,221200414,8906
1020400082,23/02/2023,BSBIO01192028,230100128,7500
1040600177,23/02/2023,DPT01182062,230200748,100
1040600177,23/02/2023,DPT01182062,230100048,10500
1100400052,23/02/2023,OTT01192006,22100466,8437
1100400052,23/02/2023,OTT01192006,230100446,8437
1120400137,23/02/2023,RIT01192043,221200523,11750
1120400137,23/02/2023,RIT01192043,230100523,11750
1090400029,23/02/2023,MAT01192021,221100388,5125
1090400029,23/02/2023,MAT01192021,22100408,5125
1040400194,23/02/2023,DPT01192010,221200218,13812
1040400194,23/02/2023,DPT01192010,230100218,13812
1030400104,23/02/2023,BSCS01192035,230100199,5775
1030400104,23/02/2023,BSCS01192035,221200199,5775
1030200119,23/02/2023,BSCS01202001,230100583,10125
1210100105,23/02/2023,Fall2100105,230200793,5000
1050200072,23/02/2023,ENG01202016,230200112,6250
1050200078,23/02/2023,ENG01202022,230200115,6250
1050200067,23/02/2023,ENG01202011,230100654,6250
1050200078,23/02/2023,ENG01202022,230100659,6250
1090200048,23/02/2023,MATH01202013,230100782,6750
1090200048,23/02/2023,MATH01202013,230200238,6750
1210100920,23/02/2023,Fall2200920,230101776,7500
1210100706,23/02/2023,Fall2100706,220610031,8000
1210100706,23/02/2023,Fall2100706,22072452,8000
1210100105,23/02/2023,Fall2100105,230200645,8000
1100400059,23/02/2023,OTT01192014,230100453,8437
1100400079,23/02/2023,OTT01192037,221200472,8437
1030400083,23/02/2023,BSCS01192011,230100178,8475
1030400083,23/02/2023,BSCS01192011,221200178,8475
1070200072,23/02/2023,BSIT01202023,230200173,9750
1070200072,23/02/2023,BSIT01202023,230100717,9750
1040600139,23/02/2023,DPT01182013,230100011,10095
1040600139,23/02/2023,DPT01182013,221200011,10095
1040600160,23/02/2023,DPT01182042,230100032,10095
1030400089,23/02/2023,BSCS01192017,221200184,10500
1030400089,23/02/2023,BSCS01192017,230100184,10500
1210100877,23/02/2023,Fall2100877,230101552,10835
1120400113,23/02/2023,RIT01192019,230100500,11250
1060400106,23/02/2023,HND01192028,221200317,11250
1060400106,23/02/2023,HND01192028,230100317,11250
1120400129,23/02/2023,RIT01192035,221200515,11250
1060200173,23/02/2023,HND01202049,230200156,11250
1060200173,23/02/2023,HND01202049,221200700,11250
1060200173,23/02/2023,HND01202049,230100700,11250
1060200149,23/02/2023,HND01202024,230200137,11750
1120200153,23/02/2023,RIT01202010,230200351,12187
1120200153,23/02/2023,RIT01202010,230100897,12187
1040600168,23/02/2023,DPT01182050,230100040,12525
1040400189,23/02/2023,DPT01192003,221200213,14531
1040400189,23/02/2023,DPT01192003,230100213,14531
1040400188,23/02/2023,DPT01192002,230100212,14531
1040400188,23/02/2023,DPT01192002,221200212,14531
1040200270,23/02/2023,DPT01202038,230200095,15750
1040200270,23/02/2023,DPT01202038,230100639,15750
1210100826,23/02/2023,Fall2100826,230101344,15835
1210100108,23/02/2023,Fall2100108,221200950,17002
